origin_country,total_flights,avg_velocity,on_ground
Algeria,13,204.97923076923078,1
Angola,4,123.09,1
Argentina,30,153.505,0
Armenia,1,242.98,0
Australia,64,118.1875,23
Austria,141,163.14716312056737,11
Azerbaijan,6,193.58666666666667,1
Bahamas,2,122.62,0
Bahrain,16,206.501875,2
Bangladesh,14,168.4664285714286,0
Belarus,3,108.95666666666666,0
Belgium,51,148.08411764705883,6
Bosnia and Herzegovina,1,176.14,0
Botswana,1,82.75,0
Brazil,135,170.0871111111111,9
Brunei Darussalam,2,78.315,1
Bulgaria,26,217.005,1
Cambodia,3,235.65,0
Canada,275,137.42010909090908,45
Chile,57,178.23298245614035,8
China,394,202.6882994923858,20
Colombia,26,85.61615384615385,9
Costa Rica,7,45.70428571428572,1
Croatia,19,191.57684210526315,0
Cyprus,5,131.64600000000002,2
Czech Republic,65,132.70723076923076,2
Denmark,39,166.52282051282052,3
Dominican Republic,1,241.25,0
Egypt,37,180.53756756756758,5
Estonia,7,212.44285714285712,0
Ethiopia,8,228.35125,0
Fiji,1,196.65,0
Finland,26,105.58807692307693,7
France,240,142.0545416666667,24
Georgia,3,79.13000000000001,1
Germany,483,135.93436853002072,31
Greece,55,162.10836363636363,4
Guatemala,5,25.02,3
Hungary,66,160.92757575757574,9
Iceland,24,192.99041666666668,0
India,170,175.67835294117646,11
Indonesia,29,187.5937931034483,0
Iraq,1,231.87,0
Ireland,320,186.62240624999998,24
Islamic Republic of Iran,2,168.39,0
Israel,11,184.85818181818183,0
Italy,29,92.26793103448276,4
Japan,154,179.91779220779222,17
Jordan,18,187.07722222222222,1
Kazakhstan,4,146.41,1
Kenya,6,135.43166666666664,1
Kingdom of the Netherlands,135,171.6985925925926,13
Kuwait,10,221.087,0
Latvia,27,160.78703703703704,6
Lebanon,7,221.15142857142857,0
Libyan Arab Jamahiriya,4,183.51,0
Lithuania,16,147.41875,3
Luxembourg,32,164.325,5
Malaysia,54,189.71814814814817,3
Maldives,1,137.41,0
Malta,267,195.3337827715356,12
Mauritius,1,239.5,0
Mexico,54,193.6861111111111,2
Mongolia,1,221.11,0
Montenegro,3,235.5533333333333,0
Morocco,35,205.29171428571428,1
Myanmar,4,118.94749999999999,0
Nepal,4,108.22,0
New Zealand,12,124.52333333333333,4
Nigeria,2,213.325,0
Norway,58,146.2351724137931,8
Oman,4,221.69,0
Pakistan,12,232.18083333333334,0
Panama,19,197.01105263157896,2
Papua New Guinea,1,132.56,0
Peru,2,141.86,0
Philippines,25,166.4404,4
Poland,152,157.58723684210526,6
Portugal,96,162.4490625,10
Qatar,79,200.71518987341773,5
Republic of Korea,126,182.75690476190476,19
Republic of Moldova,6,204.205,0
Romania,23,191.51695652173913,0
Russian Federation,51,171.18843137254902,3
Rwanda,1,243.31,0
San Marino,18,194.53555555555556,0
Saudi Arabia,30,191.88766666666666,1
Serbia,20,167.352,2
Singapore,51,185.76176470588237,8
Slovakia,8,111.25375,0
Slovenia,6,81.895,0
South Africa,36,132.39583333333334,2
Spain,204,162.0837254901961,17
Sri Lanka,3,234.5533333333333,0
Sweden,83,177.09831325301204,8
Switzerland,164,131.23213414634145,14
Taiwan,70,181.92157142857144,9
Tajikistan,1,62.45,0
Thailand,50,183.2108,1
Tunisia,11,199.3972727272727,1
Turkey,331,194.4774018126888,19
Turkmenistan,2,166.07,0
Ukraine,7,193.50857142857143,1
United Arab Emirates,156,212.30365384615385,6
United Kingdom,570,167.1290350877193,55
United Republic of Tanzania,1,62.14,0
United States,3464,135.54213625866052,337
Uruguay,2,58.55,0
Uzbekistan,9,210.60333333333335,0
Venezuela,1,235.87,0
Viet Nam,17,185.69411764705882,1
