icao24,origin_country,velocity,geo_altitude
39de4f,France,202.3,6926.58
39de4e,France,105.62,594.36
80162c,India,227.54,13289.28
801638,India,234.43,12283.44
39de4a,France,0.0,
39de4d,France,186.29,7109.46
39de4c,France,234.47,11719.56
39de57,France,234.04,11826.24
39de59,France,239.02,12443.46
4b4089,Switzerland,76.38,1882.14
a1abef,United States,152.42,11369.04
801645,India,245.91,9044.94
386e7d,France,64.28,1158.24
39de50,France,160.34,4663.44
80162f,India,0.0,
39de53,France,73.0,647.7
a39be7,United States,0.0,
8744f6,Japan,194.57,3489.96
3d10d0,Germany,53.29,1447.8
398e7d,France,46.81,
801649,India,92.55,876.3
500479,San Marino,272.3,12184.38
801647,India,73.07,1249.68
c81bce,New Zealand,88.49,3718.56
00b22d,South Africa,131.16,1066.8
80163f,India,230.04,11422.38
00b22b,South Africa,226.0,9258.3
00b22f,South Africa,2.83,
801623,India,241.94,11681.46
a1befc,United States,284.81,11803.38
801622,India,237.37,9258.3
80160e,India,166.25,6705.6
851914,Japan,229.7,7399.02
80161a,India,161.58,4152.9
801629,India,132.26,5059.68
488252,Poland,181.31,4869.18
39de46,France,237.72,9517.38
407a05,United Kingdom,239.17,11765.28
39de45,France,5.14,
a1025a,United States,244.43,10020.3
39de49,France,3.34,
407a06,United Kingdom,236.99,11871.96
801632,India,209.55,10088.88
801633,India,190.06,6682.74
a0e249,United States,258.32,10652.76
39de41,France,204.78,7078.98
39de44,France,180.64,5204.46
39de43,France,239.66,11704.32
80166c,India,250.32,11658.6
511187,Estonia,247.98,11148.06
80166d,India,97.26,1424.94
44028c,Austria,207.54,9555.48
44028a,Austria,140.44,3817.62
a2228b,United States,270.12,11178.54
511188,Estonia,0.0,
aad012,United States,262.79,9555.48
511189,Estonia,247.7,10195.56
8a02d4,Indonesia,91.31,784.86
4acb03,Sweden,112.17,1973.58
4acb02,Sweden,94.84,624.84
801685,India,208.67,10820.4
4acb04,Sweden,219.46,11971.02
801683,India,195.58,6987.54
51116f,Estonia,215.5,12108.18
4bc8c8,Turkey,228.58,6781.8
4bc8c6,Turkey,235.45,10500.36
4bc8c7,Turkey,221.63,11376.66
4bc8c4,Turkey,71.73,807.72
4bc8c5,Turkey,224.42,10706.1
4bc8c1,Turkey,226.26,6377.94
e8024c,Chile,0.0,
80167c,India,209.43,7726.68
511171,Estonia,217.66,12092.94
3c4c63,Germany,264.01,14196.06
511170,Estonia,6.17,
4bc8d9,Turkey,206.55,11445.24
3d23b9,Germany,28.59,228.6
841a6c,Japan,222.61,9014.46
4bc8d5,Turkey,212.24,10820.4
4bc8d6,Turkey,212.2,11384.28
4bc8d4,Turkey,222.44,9174.48
80164e,India,212.17,9364.98
801659,India,24.18,
471efe,Hungary,104.51,2712.72
471efc,Hungary,218.29,10736.58
44029f,Austria,231.57,10447.02
511195,Estonia,193.84,4975.86
44029d,Austria,57.75,1600.2
407a3f,United Kingdom,235.66,11094.72
3d36f8,Germany,52.6,946.0
80165e,India,233.32,9243.06
3d36ed,Germany,91.61,1280.16
801673,India,220.16,10561.32
801670,India,245.56,
801671,India,148.62,4206.24
505f15,Slovakia,227.23,11673.84
3455da,Spain,137.04,2499.36
3d2506,Germany,65.65,609.6
4acb41,Sweden,231.74,11803.38
3ffc9e,Germany,70.62,1219.2
a114a4,United States,55.24,457.2
3ffc9f,Germany,54.69,1569.72
e80211,Chile,173.48,3718.56
a8a88b,United States,173.39,3604.26
440261,Austria,38.73,388.62
ac6a65,United States,245.94,10645.14
accd69,United States,246.47,11308.08
8a040a,Indonesia,73.65,213.36
aae1ea,United States,267.64,12580.62
86cfa0,Japan,242.54,8145.78
3455d7,Spain,233.07,11727.18
440248,Austria,230.4,11536.68
8a0419,Indonesia,235.51,11757.66
3455d9,Spain,145.81,3368.04
4acb58,Sweden,206.38,7909.56
470bc8,Hungary,227.91,8465.82
4acb59,Sweden,244.33,11620.5
3d3831,Germany,31.42,1013.46
ae74d9,United States,29.61,594.36
44023f,Austria,226.21,11422.38
e8021a,Chile,160.04,3550.92
3c5ee8,Germany,218.55,11529.06
4bc8e1,Turkey,244.11,11635.74
3c5ee6,Germany,224.81,9715.5
3c5ee5,Germany,228.61,11437.62
0d11e9,Mexico,233.66,11963.4
3ffc7d,Germany,52.32,472.44
39cb7c,France,35.12,327.66
4bc8cd,Turkey,250.75,10447.02
4bc8ce,Turkey,100.8,1508.76
4bc8cb,Turkey,213.96,10797.54
4acb23,Sweden,195.39,8153.4
80168a,India,136.58,3566.16
4bc8ca,Turkey,207.13,8511.54
3c5ee3,Germany,238.59,9700.26
3c5ee1,Germany,209.66,11376.66
e8022a,Chile,216.51,7795.26
3c5ef6,Germany,223.87,11125.2
