icao24,origin_country,velocity,on_ground
39de4f,France,157.8,False
39de4e,France,225.3,False
3ffc29,Germany,37.04,False
80162d,India,132.07,False
e8027d,Chile,211.32,False
39de4b,France,180.71,False
39de4a,France,0.9,True
39de4d,France,235.62,False
39de57,France,226.26,False
39de59,France,209.26,False
c07d20,Canada,120.75,False
3ffc0b,Germany,74.22,False
801643,India,216.29,False
e4a7b7,Brazil,70.64,False
39de51,France,223.27,False
39de50,France,239.74,False
39de53,France,229.89,False
a39be7,United States,233.63,False
39de55,France,231.8,False
39de54,France,222.53,False
a3fefb,United States,144.86,False
500479,San Marino,274.98,False
48d247,Poland,46.11,False
a4d870,United States,148.82,False
3ffc1b,Germany,42.83,False
a3b88e,United States,244.92,False
aae316,United States,87.97,False
80163f,India,229.04,False
a5e521,United States,58.9,False
3d23f5,Germany,34.96,False
a90eb3,United States,78.62,False
acdfa3,United States,249.98,False
80160a,India,184.55,False
a3a578,United States,137.43,False
3ffc03,Germany,45.39,False
801619,India,223.97,False
ab032d,United States,55.91,False
851914,Japan,259.66,False
a35555,United States,136.69,False
ac231d,United States,84.51,False
ab0347,United States,40.26,False
80161a,India,223.4,False
ad5628,United States,151.37,False
acdfab,United States,143.35,False
801629,India,138.55,False
a0e250,United States,192.19,False
488252,Poland,207.33,False
39de46,France,228.65,False
39de45,France,158.12,False
407a05,United Kingdom,220.72,False
39de48,France,233.37,False
a84509,United States,54.37,False
39de47,France,249.47,False
ad694c,United States,248.65,False
801632,India,91.06,False
a0e249,United States,171.96,False
39de40,France,182.09,False
39de42,France,258.38,False
a2355d,United States,240.02,False
39de41,France,219.07,False
39de44,France,202.93,False
511187,Estonia,215.91,False
44028c,Austria,144.27,False
44028a,Austria,153.9,False
511188,Estonia,238.65,False
adeca0,United States,52.46,False
511189,Estonia,236.82,False
abacd2,United States,3.34,True
a9b3f9,United States,201.67,False
4acb01,Sweden,148.85,False
4acb02,Sweden,235.89,False
801685,India,99.3,False
4acb04,Sweden,6.69,True
e80251,Chile,182.09,False
ab034d,United States,258.54,False
4bc8c8,Turkey,224.43,False
ae1fde,United States,45.92,False
a950df,United States,189.47,False
4bc8c7,Turkey,7.72,True
4bc8c5,Turkey,0.0,True
4bc8c1,Turkey,212.19,False
801680,India,78.75,False
a6f0f5,United States,35.29,False
e8024c,Chile,215.1,False
511173,Estonia,123.28,False
ab5cfc,United States,97.11,False
aa092b,United States,80.85,False
acdfcc,United States,34.99,False
511172,Estonia,218.68,False
801697,India,232.53,False
e80268,Chile,217.83,False
4bc8d6,Turkey,238.38,False
4bc8d3,Turkey,0.0,True
4bc8d4,Turkey,190.54,False
4bc8d2,Turkey,204.46,False
80164a,India,56.08,False
3442cc,Spain,101.36,False
ad5679,United States,11.83,True
471efa,Hungary,2.83,True
471efb,Hungary,199.17,False
801659,India,259.83,False
471eff,Hungary,220.54,False
471efc,Hungary,233.66,False
800333,India,100.61,False
801661,India,145.51,False
801667,India,241.31,False
00b231,South Africa,104.32,False
a34268,United States,132.69,False
80165b,India,193.2,False
44029f,Austria,173.13,False
e8026f,Chile,8.75,True
8744d4,Japan,12.35,True
80165c,India,233.65,False
511195,Estonia,239.43,False
407a3e,United Kingdom,189.9,False
e8026d,Chile,1.29,True
e8026c,Chile,240.74,False
a3556f,United States,249.57,False
3442c2,Spain,115.52,False
a5e509,United States,52.4,False
a3fef1,United States,62.38,False
801671,India,149.82,False
505f15,Slovakia,213.93,False
3455da,Spain,0.0,True
adda1e,United States,224.85,False
abad94,United States,2.31,True
4acb41,Sweden,218.0,False
4acb42,Sweden,218.77,False
4acb45,Sweden,210.17,False
3ffc9c,Germany,75.5,False
a4b294,United States,159.1,False
a8a88b,United States,205.92,False
aae1f8,United States,140.04,False
aae1f1,United States,234.74,False
ac6a65,United States,187.77,False
accd69,United States,232.45,False
86cfa0,Japan,175.76,False
3455d7,Spain,227.83,False
